Date,Amount,Description
2022-12-19,12.61,8810 Debit Card Purchase Starbucks 70921
2022-12-19,14.61,8810 Debit Card Purchase Tropical Smoothie Cafe
2022-12-19,15.25,8810 Debit Card Purchase Grubhubaromaindiancui
2022-12-19,19.3,Zel To Vishnupriya Ramani
2022-12-19,25.74,8810 Debit Card Purchase DD Doordash Burgerkin
2022-12-19,25.82,8810 Debit Card Purchase Goodwill Ind - Ypsilan
2022-12-19,26.5,8810 Debit Card Purchase Cardamomrestaurant
2022-12-19,200.0,Zel From Nowrin Mohamed
2022-12-19,232.6,8810 Debit Card Purchase American Air0017877002
2022-12-21,1.0,Zel From Shajil Mannil
2022-12-21,15.86,8810 Debit Card Purchase DD Doordash Maggianos
2022-12-21,48.6,8810 Debit Card Purchase Statue Cruises
2022-12-22,4.99,8810 Recurring Debit Card Doordash Dashpass
2022-12-22,14.0,8810 Debit Card Purchase Www.Statueoflibertytic
2022-12-22,17.8,8810 Debit Card Purchase DD Doordash Madrasmas
2022-12-28,23.74,Debit Card Credit Hm.Com 855-4667467 NY
2022-12-29,1.05,International POS Fee Vis 1228 CD
2022-12-29,35.0,8810 Debit Card Purchase Lawdepot 877-509-
2022-12-30,22.25,POS Purchase Macy's New York NY
2022-12-30,100.0,Zel From Nowrin Mohamed
2023-01-03,2.75,8810 Debit Card Purchase Mta*Nyct Paygo New Yo
2023-01-03,2.75,8810 Debit Card Purchase Mta*Nyct Paygo New Yo
2023-01-03,2.75,8810 Debit Card Purchase Mta*Nyct Paygo New Yo
2023-01-03,2.75,8810 Debit Card Purchase Mta*Nyct Paygo New Yo
2023-01-03,2.75,8810 Debit Card Purchase Mta*Nyct Paygo New Yo
2023-01-03,3.0,POS Purchase Mta*Metrocard New York NY
2023-01-03,7.63,8810 Debit Card Purchase Tst* Miznon - Hudson Y
2023-01-03,11.2,8810 Debit Card Purchase Tmobile*Prepaid Web
2023-01-03,17.59,8810 Debit Card Purchase DD Doordash Tropicals
2023-01-03,23.62,8810 Debit Card Purchase DD Doordash Ihop
2023-01-03,50.0,Zel From Nowrin Mohamed
2023-01-03,78.4,8810 Debit Card Purchase Tmobile*Prepaid Web
2023-01-04,17.35,8810 Debit Card Purchase DD Doordash Ihop
2023-01-04,18.61,8810 Debit Card Purchase DD Doordash Wendys
2023-01-06,14.39,Debit Card Credit Paypal *Shein 402- 9357733 De
2023-01-09,10.59,8810 Debit Card Purchase Amzn Mktp US*Qt7Qd1413
2023-01-09,24.18,8810 Debit Card Purchase Amzn Mktp US*C760G3I63
2023-01-09,84.74,8810 Debit Card Purchase Amzn Mktp US*Wo26Q56L3
2023-01-09,300.0,Zel From Sachin Salim
2023-01-10,26.61,8810 Debit Card Purchase DD Doordash
2023-01-10,222.42,8810 Debit Card Purchase Paypal *Walmart Com
2023-01-12,22.46,8810 Debit Card Purchase DD Doordash
2023-01-17,11.1,8810 Debit Card Purchase Monahan's Seafood Mark
2023-01-17,11.99,POS Purchase Om Market Ann Arbor Mi
2023-01-17,16.64,8810 Debit Card Purchase DD Doordash
2023-01-17,100.0,Zel From Sachin Salim
2023-01-19,0.99,8810 Recurring Debit Card Apple.Com/Bill
2023-01-19,18.78,8810 Debit Card Purchase DD Doordash Burgerkin
2023-01-23,4.99,8810 Recurring Debit Card Doordash Dashpass
2023-01-26,5.75,8810 Debit Card Purchase Mujo Cafe Ann Arbor M
2023-01-26,9.78,8810 Debit Card Purchase Fireside Cafe Ann Arb
2023-01-26,18.64,8810 Debit Card Purchase DD Doordash Tasteofin
2023-01-27,25.87,8810 Debit Card Purchase Fireside Cafe Ann Arb
2023-01-30,25.87,Debit Card Credit Fireside Cafe Ann Arbor Mi
2023-02-02,10.06,8810 Debit Card Purchase Amzn Mktp US*6F67J0Ds3
2023-02-02,38.18,Zel From Shrikant Arvavasu
2023-02-02,1300.0,Zel From Nowrin Mohamed
2023-02-03,3.86,8810 Debit Card Purchase Amazon web services
2023-02-03,1298.89,Web Pmt- E-Payment Discover 6262
2023-02-06,6.35,8810 Debit Card Purchase CVS/Pharmacy #08006
2023-02-06,8.69,8810 Debit Card Purchase Starbucks Store 11966
2023-02-06,28.74,8810 Debit Card Purchase Sq *Famous Chicken Cen
2023-02-06,400.0,Zel From Sachin Salim
2023-02-07,3.5,8810 Debit Card Purchase Mujo Cafe Ann Arbor M
2023-02-08,15.45,8810 Debit Card Purchase DD Doordash
2023-02-09,16.64,8810 Debit Card Purchase DD Doordash
2023-02-09,81.41,8810 Debit Card Purchase Venmo 855- 8124430 NY
2023-02-10,10.75,8810 Debit Card Purchase Mujo Cafe Ann Arbor M
2023-02-10,15.45,8810 Debit Card Purchase DD Doordash Burgerkin
2023-02-10,16.64,8810 Debit Card Purchase DD Doordash Tasteofin
2023-02-13,20.47,8810 Debit Card Purchase DD Doordash Burgerkin
2023-02-13,137.78,8810 Debit Card Purchase Expedia 72490006990460
2023-02-15,4.75,8810 Debit Card Purchase Mujo Cafe Ann Arbor M
2023-02-21,0.99,8810 Recurring Debit Card Apple.Com/Bill
2023-02-21,14.59,8810 Debit Card Purchase DD Doordash Burgerkin
2023-02-21,15.53,8810 Debit Card Purchase DD Doordash Tasteofin
2023-02-21,19.47,POS Purchase Kroger #605 Ann Arbor Mi
2023-02-21,26.0,Zel From Shrikant Arvavasu
2023-02-21,29.67,8810 Debit Card Purchase Altar'D State #193
2023-02-21,62.0,Zel From Vishnupriya Ramani
2023-02-22,4.37,8810 Debit Card Purchase Mujo Cafe Ann
2023-02-22,4.99,8810 Recurring Debit Card Doordash Dashpass
2023-02-23,27.0,Zel From Karishma Anandan
2023-02-24,16.08,8810 Debit Card Purchase DD Doordash Burgerkin
